draft_num,draft_year,report,word_count,A,G,GP,PIM,Pts,draft_team,junior_team,name,pos,round_num,clas
210,2014,"A big defender who has excellent mobility, size, and snarl. Has good feet and pivots for a bigger man, and was strong and mean along the wall. Seems like more of a development pick at this point. He hasn't figured out how to use his speed to pressure and close as well as he should, and if he can improve on the back end and add some offense, I suspect he will climb the boards.",75,1,0,3,2,1,Los Angeles,Ottawa 67's [OHL],Jacob_Middleton,D,7,False
208,2014,"Big wing has size and uses it. At this juncture is more of a North-South trailer on the attack. A developing player who has a strong wall presence and due to his size and strength can win battles in front and in all battle areas. A hard hit hitter who still needs polish as a guy in control of the puck, there is lots to like with the unfinished product. Committed to the University of Minnesota.",76,0,0,0,0,0,Chicago,Penticton Vees [BCHL],Jack_Ramsey,F,7,False
209,2014,"Gifted scorer who has a knack for scoring. Very smart player who has a feel for the game situations and quickly makes the most of them. Whether it's crashing the front, or flying off the wall with the puck to shake things up from the middle, he is a dangerous attacker with lightning release. Lacks great size, strength and speed, but still is already an impact player in the OHL.",70,0,0,0,0,0,Los Angeles,Kingston Frontenacs [OHL],Spencer_Watson,R,7,False
207,2014,Thin six footer plays sixty minutes is responsible in his own end. good balance and stride but needs to increase foot speed. Good on the cycle. and at this point is more passer than shooter.,35,0,0,0,0,0,Montreal,St. Michael's Buzzers [OJHL],Jake_Evans,F,7,False
204,2014,"Displays plenty of the attributes that NHL wings must have. Has a good strong skating stride, size, and strength. Excellent on the wall and corners. Wins puck battles and is good on the cycle. uses his strength and strong skating to fight for possession in all zones. Has yet to find a constitent offensive game.",55,0,0,0,0,0,Colorado,Rouyn-Noranda Huskies [QMJHL],Julien_Nantel,L,7,False
206,2014,"Solid skating undersized defenseman who has excellent balance and backward movement. Understands his how to play his position and uses his mobility to stay in position in his zone. Reads situations well, but sometimes gets ahead of himself when has puck possession and feels pressure.",45,0,0,0,0,0,Boston,HV71 (Sweden Jrs.),Emil_Johansson,D,7,False
202,2014,"The only current Midget Major forward listed on the NHL Central Scouting Bureau's Players to Watch List, based on his combination of tremendous size and developing hands and feet.",29,0,0,0,0,0,St. Louis,Indiana Ice [USHL],Dwyer_Tschantz,F,7,False
205,2014,"Undersized Czech wing who displays creativity, slick moves and excellent passing skills. Not the fastest guy, but one who comes out of high traffic areas with the puck on his stick, and the soft hands to get it where he wants.  An excellent playmaker with a quick wrister.  Not fast, just slippery, and agile, he is deadly on the rush, making monkeys out of the defenders who attempt to close in and stop him. Has patience, vision, playmaking skills, a nice saucer pass, and good awareness. A member of his homeland’s team roster for the World Junior Under-20 at Christmas 2014.",101,37,36,149,34,73,Anaheim,Chomutov Pirati [Czech],Ondrej_Kase,R,7,True
217,2017,Will Reilly,2,0,0,0,0,0,Pittsburgh,R.P.I. [ECAC],Will_Reilly,D,7,False
212,2017,"High skilled elite forechecker who unearths pucks and scores by driving into the faces of the opposing defenders and contesting for pucks that should has never gone to him. A puck hound who will take the biscuit and ramp to top gear, then be in position for his own rebound. He seems to ramp up when there's a hint of being part of an odd man break -- as if he smells blood. Goes wide with the puck far from the opposing defenders and turns back in to the scoring area. He also will gain the line and weave, so his second and third layers of teammate/attackers can join in. Decent player in his own end; positions himself well and blocks shots. Can take the the hard pass at top speed and also surprise defenders who think the puck is safe…until he steals it back.",145,0,0,0,0,0,San Jose,Baie-Comeau Drakkar [QMJHL],Ivan_Chekhovich,L,7,False
211,2017,Committed to the Division I UMass-Lowell.,6,0,0,0,0,0,Winnipeg,Shreveport Mudbugs [NAHL],Croix_Evingson,D,7,False
208,2017,"A big athletic defenseman with good skating ability but needs to work on pivots and turns. Better when he is in open space or not in close quarters. Ends up having trouble when pressured and turns many pucks over. Uses his size as deterrent along the boards, and his stick to clog lanes.  He displays an emerging offensive game in the attack zone, but needs to improve his puck skills and in-game IQ. Long term developmental player.",77,0,0,0,0,0,Edmonton,U.S. National Development Team [USHL],Philip_Kemp,D,7,False
216,2017,"Bigger bodied defender who projects at this juncture as a defense-first stay at home player. A rock in front of his own net, and takes care of clearing it out. Has a solid stride and good jump when moving around his end and in his play in transition. Knows his limitations offensively and plays to his own strengths: bodying opponents out, pin and seals with gusto, and using his thick huge frame to his advantage. Physical in the corners and the front. Is disciplined enough to play a firm simple game in his own end. If a team is looking for a well-rounded defenseman, he ranks as a long term developmental guy, who you hope gains confidence, grows, and offensive side.",121,0,0,0,0,0,Nashville,Kingston Frontenacs [OHL],Jacob_Paquette,D,7,False
60,2015,"Clearly one of the top end elite skaters and puck movers in the class. Has the ability to play in tight space and control the puck and play. Plays like he knows he has more ability than the rest of the ice, and is poised and composed in all phases when he gets a puck in his end. He is able to work out with smart passes or carry the mail with top acceleration. Good in his one end, and although not overly big framed, he have the stamina to fight through the rough going and excel. A member of his homeland’s team roster for the World Junior Under-20 at Christmas 2014.",112,5,3,39,10,8,Calgary,Farjestads BK Karlstad [SweHL],Oliver_Kylington,D,2,True
124,2015,"Excellent defensive defenseman who has an aggressive stick, blocks tons of shots, handles one on ones, strips away pucks and refuses to any room in his zone. Clears the front. Will relieve pressure by carrying the puck out of his zone. Excels on the pK and is a key component to his team’s success there. His offensive side needs work and he probably needs to be more confident enough with shooting the puck.",73,3,1,18,10,4,Edmonton,Seattle Thunderbirds [WHL],Ethan_Bear,D,5,False
214,2017,Committed to the University of Norte Dame.,7,0,0,0,0,0,New Jersey,Sioux City Musketeers [USHL],Matthew_Hellickson,D,7,False
114,2018,Grew more than a half a foot in 18 months and now qualifies as an interesting option as a netminder prospect.,21,0,0,0,0,0,Arizona,Youngstown Phantoms [USHL],Ivan_Prosvetov,G,4,False
57,2018,"Long term developmental defender who needs to add better habits, gamble less in his end, and play with more grit. Strong on the puck and able to hold it in his end without losing possession. Needs better awareness and presence in his end. Very skilled skater and puckhandler with flash and dash. A high patience player when under forechecking pressure. Long term developmental RHD who needs to continue to build his overall game.",73,0,0,0,0,0,Boston,Djurgarden-2 (Sweden Jrs.),Axel_Andersson,D,2,False
211,2015,"Thick hard working Swedish winger with good balance and feet and hockey sense. Has a 200 foot game and an accurate wrist shot, and good offensive instincts.",27,0,0,0,0,0,Chicago,Frolunda Jrs. (Sweden),John_Dahlstrom,R,7,False
181,2018,Committed to Clarkson University.,4,0,0,0,0,0,Boston,Pickering Panthers [OJHL],Dustyn_McFaul,D,6,False
208,2016,Committed to University of Massachusetts -Lowell.,6,0,0,0,0,0,Tampa Bay,Waterloo Black Hawks [USHL],Ryan_Lohin,C,7,False
206,2016,"Quebec league import with high skill and puck-handling ability. Has the skill to wiggle and weave through traffic and make plays. Quebec league import with high skill and puck-handling ability. An early season shoulder injury stalled his progress a bit. An aggressive push the pace set-up man who always is trying to get the opposition on their heels. Has the skill to wiggle and weave through traffic and make plays. He is quick and tenacious on the forecheck, pressuring opposing defenders into the bad puck decisions. He has a good shot which he releases quickly, and good touch when in close. Gets back his defensive zone and works hard to break things up and provide backside pressure away from the puck. Developmental centre-forward who needs to get thicker and be able to anchor down and hold possession.",137,0,0,0,0,0,Tampa Bay,Halifax Mooseheads [QMJHL],Otto_Somppi,C,7,False
203,2016,Solid defensively and attacks on offense with reckless abandon. Big time one timer. Committed to Providence College.,17,0,0,0,0,0,Chicago,Waterloo Black Hawks [USHL],Jake_Ryczek,D,7,False
205,2016,"When you see him on the sheet, he seems younger and thinner than everyone else. Has a really short compact stride and he keeps the feet moving the entire shift. Sees the surface well and is good at positioning himself, and anticipating the possible developing play. Is very undeveloped, and needs weight room work to make him able to compete in so many of the areas he now seems a lightweight in. If he can get stronger, he will be able to compete physcality in the areas necessary, his perimeter shot will get stronger, and he will get better in most areas. Good playmaker who needs much more weight to withstand the physicality his up tempo strong forechecking style causes. He has soft hands, is a good face-off man, and always keeps his feet in motion. Has long term upside, and already shows great hand-eye coordination, moves to the open areas in lanes, and seems to place the puck wherever he iswants it to go. Clearly the team that selects him will wait but there may be a strong payoff as he improves his physical development.",186,0,0,0,0,0,Anaheim,Victoria Royals [WHL],Tyler_Soy,C,7,False
201,2016,"Once thought of as undersized and injury-prone, he started flying out of the ashes from the CHL prospects game and had a 30 goal and 59 point season, without the luxury of a high edn centreman to feed him the puck.  Relentless in puck pursuit, very similar to his father, Cliff, a former NHLer. A quick agile skater who attacks the goalie with patience and cuts and weaves fearlessly  in the attack zone, eventually having the goaltender commit and for him to capitalize. Can take a hit and make the play. Projects as a small fourth line NHLer with hustle and jump.",102,0,0,0,0,0,NY Rangers,Vancouver Giants [WHL],Ty_Ronning,R,7,False
200,2016,"Continues to impress all watchers with his Ivan Hlinka & World U-18 performances as a 5' 8"" defensemen with a big-time point shot, and high end offensive skills. Uses his thick, meaty fireplug body to hit players with authority. Very cool and rarely panics under pressure, always looking for the outlet pass.The stickling point is his size and making it work at the NHL level.",65,0,0,0,0,0,NY Islanders,Medicine Hat Tigers [WHL],David_Quenneville,D,7,False
199,2016,"Solid two-way defender who has a good reach and stick to strip pucks and close lanes. Can be a dominant physical presence and probably need to continue to improve this aspect as his is how his pro bread will be buttered, not as an offense man, although he does have a heavy point shot. He can activate to join the play. Needs to improve pivots as attackers close try and fly-by.",71,0,0,0,0,0,Philadelphia,Djurgarden Jrs (Sweden),David_Bernhardt,D,7,False
197,2016,"A big winger who has great skating ability and gets to top speed fairly quickly. You don’t expect to see a prospect this big with the speed to breakaway from the junior defenders, but he does. After they play against him a few rushes, they see how he  forces them to back off. Displays a good strong shot, very good hands and an emerging physicality. He can beat you one on one, with a shot from the perimeter, or with body work. Projects as a player who can develop into a power player.",93,0,0,0,0,0,Detroit,Malmo Jrs (Sweden),Mattias_Elfstrom,L,7,False
194,2016,"A centre forward who projects as a long term developmental project at wing. Hard worker who handles the puck well, but must learn positioning discipline and play when doesn’t have it. Must support better. Must start to use his developing size, speed, and frame and engage contact, and work harder to get pucks back.",54,0,0,0,0,0,Vancouver,North Bay Battalion [OHL],Brett_McKenzie,C,7,False
193,2016,"Ellenton rink rat and Bradenton Florida native and USNTDP  Junior team member is solidly built six footer who is still developing, and has no weaknesses that will be impediments in the growth process. A lunch pail centre who might project to the wing, he finishes his checks and plays hard in both ends. Scored two important goals at the U-18 Five Nations in February. He has committed to the University of Michigan.",72,0,0,0,0,0,NY Islanders,U.S. National Development Team [USHL],Nick_Pastujov,L,7,False
192,2016,Committed to Northeastern University.,4,0,0,0,0,0,New Jersey,Bloomington Thunder [USHL],Jeremy_Davies,D,7,False
195,2016,Committed to St. Lawrence University.,5,0,0,0,0,0,Florida,Kimball Union (H.S.),Benjamin_Finkelstein,D,7,False
196,2016,"Has gone from a tiny high skilled forward to a solidly built one who can dominate with high end skill. Doesn’t possess high end jump but sees and reads the on ice situations to his advantage.Tends to over-carry the puck instead of advancing it to better scoring options. Very strong and solid with significant upside to project as a top nine player, if he could get more interest in being a factor when he doesn't have the puck. To this point, he seems like a player who oozes with upside, but has done very very little to apply his strengths in the team game.",104,0,0,0,0,0,Minnesota,Sudbury Wolves [OHL],Dmitry_Sokolov,R,7,False
191,2016,"Powerful tenacious winger. and grinder candidate who loves to jam the front with abandon. At times has shown nice stick-handling skills and at times some elusiveness, but the fact remains there have been long stretches where he seems slow, behind the play and unable to form a cohesiveness with teammates to make “looks” that go into the back of the net. Truly disappointing growth, and his 15 goals (two in the five playoff games) can’t be viewed as reason to be excited if he still on the board in the third round.",92,0,0,0,0,0,Colorado,Ottawa 67's [OHL],Travis_Barron,L,7,False
182,2016,"Big framed Russia centre-forward with decent puck skills, and boots. A long strider who can carry the biscuit, and score. Long term developmental project who needs work in may areas.",30,0,0,0,0,0,Toronto,MVD Jrs (Russia),Nikolai_Chebykin,L,7,False
181,2016,Committed to the University of Connecticut.,6,0,0,0,0,0,Pittsburgh,U. of Connecticut [H-East],Joe_Masonius,D,6,False
189,2016,"Big bodied defender who projects as a shutdown guy. Makes good decisions and is positionall strong Has an active stick, and is strong at boxing out in front of his net. Strong already, but still is a work in progress.",40,0,0,0,0,0,Buffalo,Mississauga Steelheads [OHL],Austin_Osmanski,D,7,False
186,2016,"What the Belarusian behemoth has going for him is the Ottawa 67 import with the wingspan of a airplane, high end skills, and a rocket wrist shot that has lots behind it. On the downside, he is going to needs plenty of developmental time to learn the nuances of playing the defensive zone. And at this point he has no interest into using his physical gifts to strike terror in the hearts of opposing players. This is a grab and wait prospect.",82,0,0,0,0,0,Calgary,Ottawa 67's [OHL],Stepan_Falkovsky,D,7,False
170,2016,Committed to the University of North Dakota.,7,0,0,0,0,0,NY Islanders,Muskegon Lumberjacks [USHL],Collin_Adams,L,6,False
169,2016,"A forward who does most things well, but none spectacularly. Unselfish complementary player with a smart and unselfish game. Does all the little things that teams need to win. Drops back when one of his defenseman activates, works the wall and greasy areas. Will continue to develop his game in college, as he has committed to Ohio State University",59,0,0,0,0,0,Philadelphia,Lincoln Stars [USHL],Tanner_Laczynski,C,6,False
173,2016,"USHL defender who plays a simple style with success. Does everything well at the level he is playing, but needs more strength and girth.",24,0,1,4,0,1,Chicago,U. of Denver [NCHC],Blake_Hillman,D,6,False
172,2016,"Superb short stocky centre who is a top skater that can make plays at top speed. Dynamic top end skater with great jump and dangle at breakneck speed. A great skater whose balance makes tough to knock him off the puck. Any loose puck has a chance of being his because he works hard to unearth them and make chances for his team. A battler who doesn’t seem to view himself as the smaller guy and it can hurt him. He is so surprisingly quick and has a very deceptive shot. His puck skills let him set up his linemates, and he makes sure he is in position in the defensive end. Works hard, and leads by example. He is more of a long term prospect because he needs lots more core strength and then he will become a bigger threat.",141,0,0,0,0,0,Philadelphia,Sarnia Sting [OHL],Anthony_Salinitri,L,6,False
166,2016,Elite speed and agility that makes him elusive in the attack zone. Frightfully small and that will be an issue as he climbs the tiers to the pro game. Will some team take a chance that he grows and defeats the odds? Stay tuned.,44,0,0,0,0,0,Calgary,Victoria Royals [WHL],Matthew_Phillips,C,6,False
159,2016,A thin wing who wins pucks and controls tempo despite the lack of muscle and girth on his frame. A long term prospect who competes and has upside.,28,0,0,0,0,0,Buffalo,Red Deer Rebels [WHL],Brandon_Hagel,L,6,False
154,2016,"Developing player with elite speed and feet. Gets the jump on defenders and shows up in scoring areas much quicker than they expect. Finds the soft spots surprises them with his scoring chances. Needs time to develop, but you can’t teach speed.",42,0,0,0,0,0,Vancouver,Calgary Hitmen [WHL],Jakob_Stukel,L,6,False
152,2016,"Third year eligible player who was recruited as a defenseman in 2012-2013, but switched to wing 20 games in and then back to defense 2013-14, and finally settled in as scoring winger last season potting 36 goals & 84 points during the regular season and 8 goals & 16 points in 13 WHL playoff games. The under six footer has always been fleet afoot and has now almost 180 pounds. He attended the Minnesota Wild's Development Camp in July,2015, continuing at the NHL Prospects Tournament in Traverse City, Mich., and extending into training camp, but the team in his home state didn’t offer him a contract, so he returned to Victoria, where things worked out.",115,0,0,0,0,0,Toronto,Victoria Royals [WHL],Jack_Walker,L,6,False
149,2016,"Hard working winger with a bit of edge. He works hard in the battle areas and has in the past displayed some offensive upside, but still has been limited to a supporting roles, and was on the USA Under 18 team as a 4th line checker. He finishes his checks and makes space and comes in hard on the forecheck. He is good in puck pursuit, and is good on the PK. He is committed to Boston College, where he maybe able to develop the offensive of his game.",89,0,0,0,0,0,Edmonton,U.S. National Development Team [USHL],Graham_McPhee,L,5,False
143,2016,"Big Danish wing who grew bigger during the summer. Plays  more of a power wing role, but has a decent shot and some skill. He is strong in back side pressure and solid defensively already.",35,0,0,0,0,0,Chicago,Rogle Jrs (Sweden),Mathias_From,L,5,False
141,2016,"Oversized lanky wing with surprising feet and mobility, hockey sense and hands. has long term potential as an NHL power forward down the road. Plays on bothe the PP and PK. A three zone player with a good release, soft hands, and inside touch. Plays pretty strong with the puck and along the boards, and makes good decisions in all phases. Long term prospect with good upside.",67,0,0,4,0,0,NY Rangers,Soo Greyhounds [OHL],Tim_Gettinger,L,5,False
142,2016,"Colorado-born college Freshman who was a Freshman at St. Cloud State. He was named the 2016 North Star College Cup Most Valuable Player for his performance of five points (3G-2A) points in two tourney games, and helping the Huskie to their their first ever title.",45,0,0,0,0,0,Los Angeles,St. Cloud State [NCHC],Mikey_Eyssimont,F,5,False
150,2016,"A German import now in his last year of draft eligibility is in his first seaosn in the Q, where he can be arguably called a top two way forward in the league. Displays great skating and and ability as a shutdown forward, while scoring 30 goals and a point per game.",52,0,0,0,0,0,San Jose,Moncton Wildcats [QMJHL],Manuel_Wiederer,R,5,False
137,2016,"First year defender who has mobility, size physicality and confidence in his play. Very thin, but has room for his athletic frame. Strong on his pins with good edging and pivots. Is reliable and mistake free because he  patient and smart when carrying the puck or when he has has a chance to activate. Effective in all phases and lots of room to grow his game, and add muscle.",69,0,0,0,0,0,Detroit,Erie Otters [OHL],Jordan_Sambrook,D,5,False
138,2016,Committed to Boston University.,4,0,0,0,0,0,Nashville,Avon Old Farms (Conn. H.S.),Patrick_Harper,C,5,False
136,2016,"Second year eligible late bloomer who was good size and skills, and is committed to Ferris State University.",18,0,0,0,0,0,Boston,Lone Star Brahmas [NAHL],Cameron_Clarke,D,5,False
145,2016,"Large bodied left winger who skates well and has good functional strength who finishes his checks and puts pressure on the opposition. Can generate chances. Will play hurt.Although more on straight line skater he has a strong burst with top end acceleration that allows him to get away from his checks. Strong player in the corners and battle areas. Separates opponents from the biscuit. Better when he keeps it simple, and looks for loose pucks continue to finish his checks (as he does) and makes quick decisions in his offensive zone possessions. Potential power wing.",95,0,0,0,0,0,Washington,Calgary Hitmen [WHL],Beck_Malenstyn,L,5,False
133,2016,"Sometimes too much is asked. This may well be the case with LaJoie. He is very good skater with mobility and composure on the attack side. He is his team's PP QB.  He is light on his edges and can navigate the ice well in his carries.  He is effective with his poke checks, and can skate pucks out of danger. He very slender and gets knocked off the puck, or just off balance. Plays with an active stick and although he doesn't run around his own end, he struggles in the defensive zone, especially in his down low coverage. Doesn't seem to have a body that he can build to compensate for the way he gets out-muscled. He does have parts of a two way game and doesn't panic under pressure, but he just is unable to make enough good decisions that compensate for his liabilities.",147,8,7,56,20,15,Ottawa,Swift Current Broncos [WHL],Max_Lajoie,D,5,True
130,2016,"Czech import to the dub who already displays terrific defensive zone tools and has some upside to add the attack component. He is a long strider with a effortless glide and deceptive explosion when it is needed. An agile defender with excellent footwork and defensive awareness. Displays  high end hand-eye coordination, which helps in defending. Smartly boxes out attackers gap control; and positioning; spaces himself off the hip of the shooters and works from there. Makes outlet passes easily and can help his attack by moving in and applying pressure. A work in progress.",94,0,0,0,0,0,Buffalo,Prince Albert Raiders [WHL],Vojtech_Budik,D,5,False
131,2016,Färjestad J20,2,0,0,0,0,0,Colorado,Farjestads Jrs (Sweden),Adam_Werner,G,5,False
128,2016,Big goalie who was the MVP for the Canadians Championship team in the CCHL. Committed to Colgate University.,18,0,0,0,0,0,Dallas,Carleton Place Canadians [CCHL],Colton_Point,G,5,False
127,2016,A big framed off handed winger / centre who is starting to come into his own. Moves well and handles the biscuit at high speed. Fearless and willing to take the hit to make the play. Defensively aware and responsible and in the attack zone gets back and covers the point when the dee-man activates. Displays soft hands and can handle hard passes and advancing while on the move. Developing player who may get even better.,76,0,0,0,0,0,Winnipeg,Calgary Hitmen [WHL],Jordan_Stallard,C,5,False
124,2016,Commited to the University of Nebraska-Omaha,6,0,0,0,0,0,Montreal,Grand Rapids (Minn. H.S.),Casey_Staum,D,5,False
123,2016,"One of the top goaltender prospects in the class, he has confidence, concentration and rebound control. Tracks puck very well and almost always makes the first save. Attacks rebounds with his soft pads and works his tail off in games and in practice. Has shown he can carry the heavy load game after game. Traffic in front doesn’t faze him, and plays the angles well.",65,0,0,0,0,0,Edmonton,Peterborough Petes [OHL],Dylan_Wells,G,5,False
125,2016,The son of John Stevens is a creative centreman who thinks the game well and can stickhandle in a phone booth. He has a high hockey IQ and it shows in his competition. sees the ice and distributes the puck well on the give and go. Plays poised and calm. Has average speed at this juncture but a nice stride. He needs to be a whole lot stronger. Fearless in the dirty areas and very competitive in all roles he is asked to perform. Blocks shots.,86,0,0,0,0,0,St. Louis,Northeastern University [H-East],Nolan_Stevens,F,5,False
129,2016,Committed to the University of Wisconsin.,6,0,0,0,0,0,Buffalo,Linkoping Jrs (Sweden),Philip_Nyberg,D,5,False
215,2018,Stocky undersized centre who is committed to Harvard University.,9,0,0,0,0,0,Winnipeg,Okotoks Oilers [AJHL],Austin_Wong,C,7,False
216,2018,"Good skating attacking winger with hands, vision, and ability to make offensive plays. Committed to Northeastern University, where he will learn to improve his commitment in battle zone engagements and along the wall.",33,0,0,0,0,0,NY Rangers,St. Sebastian (Mass. H.S.),Riley_Hughes,R,7,False
126,2016,"Big and really can skate well., and advances the puck well. Displays a strong stride, nice passing skills, and is committed to playing a 200 foot game. Needs to build his underdeveloped frame. Looks like he might project as the big centre teams look for.  So far he hasn't  blossomed into a scorer, but there is time  to develop in college as he has committed to the University of North Dakota.",71,0,0,0,0,0,Calgary,Bloomington Thunder [USHL],Mitchell_Mattson,C,5,False
217,2018,"Big Centre-wing whose feet have improved radically in the course of the season. He has improved his skating stride's length to accommodate his longer legs. Very light on his edging and a creative stickhandler. Mystifies defenders and finds his passing outlets after rolling off coverage when his scoring chance closes. Pushes opponents off pucks on the forecheck and any place where he can jump in and can leverage. Hockey smarts and fearless in traffic, has a coasting gear. Really controls the attack zone looks. Far from a finished product as he still needs work in many areas. There is is plenty of upside. He sprouted up a few inches and needs time to fill out.",115,0,0,0,0,0,Washington,Saskatoon Blades [WHL],Eric_Florchuk,C,7,False
206,2018,"Thin mobile defender with good size and skill. Second year eligible. Smart with his carries and puck movement. Strong power play point shot. Pinches in well in the attack zone, and battles hard for puck possession on the wall. His attack skills are rapidly progressing. Good skater but isn’t accomplished at taking his skating ability and using it to improve his play. He will stop moving his feet when taking on rushing defenders. He will drift out of position in his own zone when the opposition has possession, and seems easily manhandled in front of his own net.",98,0,0,0,0,0,Tampa Bay,Saint John Sea Dogs [QMJHL],Radim_Salda,D,7,False
205,2018,"Big winger who played for the first time in the top SHL. He is a large kid who shows a willingness to bull to the front and and displays in many instances, strong lean while along the boards in the battle areas. A good skater who has jump enough to come out of the corner separated from his check and thus becoming a dangerous target or shooter. When the season started everyone jumped on the bandwagon, extolling his attributes. So maybe the present quiet calm is a smoke screen so he is on the board when the team that likes him is on the mike.",105,0,0,0,0,0,Philadelphia,Brynas IF Gavle [SweHL],Marcus_Westfalt,L,7,False
209,2018,"Goalie who is long term developmental guy who came into his own by the end of this season. Aggressive between the pipes, challenging shooters and playing the angles well.",29,0,0,0,0,0,Toronto,Chicoutimi Sagueneens [QMJHL],Zachary_Bouthillier,G,7,False
204,2018,Terrific attacker/puck battler who despite his diminutive size forces turnovers and uses his straight line speed to bull his way through the attack zone.,24,0,0,0,0,0,Columbus,Edmonton Oil Kings [WHL],Trey_Fix-Wolansky,R,7,False
211,2018,"Underrated competitive winger with good size, two-way game, and offensive skills.",11,0,0,0,0,0,Toronto,Togliatti-2 (Russia Jrs.),Semyon_Kizimov,R,7,False
201,2018,Committed to the University of Wisconsin.,6,0,0,0,0,0,Florida,Lincoln Stars [USHL],Cole_Krygier,D,7,False
196,2018,Solid defenseman with size and mobility. Committed to the University of Wisconsin.,12,0,0,0,0,0,NY Islanders,Lincoln Stars [USHL],Christian_Krygier,D,7,False
197,2018,Committed to Providence College.,4,0,0,0,0,0,Carolina,Des Moines Buccaneers [USHL],Jacob_Kucharski,G,7,False
